,url,top-rank,title,artist
46,https://open.spotify.com/track/7ofWUKeNCUw1P64ArIwG9b,14,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")","Tony Kakkar, Neha Kakkar, Tanishk Bagchi"
47,https://open.spotify.com/track/10Hks1iBOnKIIhouOI4rrk,23,Loca,"Yo Yo Honey Singh, Simar Kaur"
48,https://open.spotify.com/track/665AK0ovB11McZRwfa852G,41,Astronomia,"Vicetone, Tony Igy"
49,https://open.spotify.com/track/0dnDTvdUco2UbaBjUtPxNS,17,Buttabomma - Telugu,"Armaan Malik, Thaman S"
50,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,22,lovely (with Khalid),Billie Eilish
51,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,35,Blueberry Faygo,Lil Mosey
52,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg,18,Sakhiyaan,Maninder Buttar
53,https://open.spotify.com/track/1pZbjOj49hg04l9VBO97hp,32,Old Skool,"Sidhu Moose Wala, Prem Dhillon, NseeB"
54,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,26,Someone You Loved,Lewis Capaldi
55,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,18,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee"
56,https://open.spotify.com/track/1StFDfq4raRws97W8Wb3QS,23,Asal Mein,Darshan Raval
57,https://open.spotify.com/track/4yurVSNjaPBKkOpbZWtuJO,51,Kalla Sohna Nai,Akhil
58,https://open.spotify.com/track/0z9lOAVgQT5bysEKZ6Wwbk,30,"Dus Bahane 2.0 (From ""Baaghi 3"") (feat. K.K., Shaan, Tulsi Kumar)","Vishal Dadlani, Shekhar Ravjiani, Vishal-Shekhar"
59,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw,47,Takeaway,"The Chainsmokers, ILLENIUM, Lennon Stella"
60,https://open.spotify.com/track/0LtuveFgRP4lkksywmCtxV,35,Masakali 2.0,"Tulsi Kumar, Sachet Tandon, Mohit Chauhan, A.R. Rahman, Tanishk Bagchi"
61,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne,26,Can We Kiss Forever?,"Kina, Adriana Proenza"
62,https://open.spotify.com/track/1v8H06ctqfMX8IUxU9nCaI,19,Sauda Khara Khara,"Diljit Dosanjh, Sukhbir, Dhvani Bhanushali, Dj Chetas, Lijo George"
63,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,9,Circles,Post Malone
64,https://open.spotify.com/track/4YIhJmihoXwjtbY4vsV9Nh,51,"Kudi Nu Nachne De (From ""Angrezi Medium"")","Vishal Dadlani, Sachin-Jigar"
65,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,24,Believer,Imagine Dragons
66,https://open.spotify.com/track/1aIhAX6324JZmhNnGltwkK,40,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",Arijit Singh
67,https://open.spotify.com/track/5bAed2aRbQbjDZF9qkNSA2,27,"Hui Malang (From ""Malang - Unleash The Madness"")","Asees Kaur, Ved Sharma"
68,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5,5,Kalank (Title Track),Arijit Singh
69,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX,30,Udd Gaye - Bacardi House Party Sessions,Ritviz
70,https://open.spotify.com/track/2U0BLmYoSESYOdwMxW2yA9,11,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",Mithoon
71,https://open.spotify.com/track/7pmY8QjqZP8GRV6qBRpheu,12,Bhula Dunga,Darshan Raval
72,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,1,Play Date,Melanie Martinez
73,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,58,Savage Remix (feat. Beyoncé),"Beyoncé, Megan Thee Stallion"
74,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2,bad guy,Billie Eilish
75,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI,25,On My Way,"Alan Walker, Sabrina Carpenter, Farruko"
76,https://open.spotify.com/track/42ETKyApzUl8hTtytFAjen,25,8 Parche,"Baani Sandhu, Gur Sidhu"
77,https://open.spotify.com/track/57DhVYA7E1CyrE4OKuyLb7,26,Ik Tera,Maninder Buttar
78,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ,56,Without Me,Halsey
79,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20,1,Khairiyat,"Pritam, Arijit Singh"
80,https://open.spotify.com/track/6LpswW9691XT9OjVSvDU6G,37,Aaj Bhi,Vishal Mishra
81,https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS,1,"Pachtaoge (From ""Jaani Ve"")","Arijit Singh, B Praak"
82,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT,18,Proper Patola,"Badshah, Diljit Dosanjh, Aastha Gill"
83,https://open.spotify.com/track/0mJTAdmY8olbGQjopDYff3,2,Vaaste,"Dhvani Bhanushali, Nikhil D'Souza, Tanishk Bagchi"
84,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,43,Supalonely,"BENEE, Gus Dapperton"
85,https://open.spotify.com/track/5MnAi6ZF7cE8pAz7wYr9Ta,77,Dil Diyan Gallan,"Vishal-Shekhar, Julius Packiam, Atif Aslam, Irshad Kamil"
86,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,28,I Like Me Better,Lauv
87,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH,2,"O Saki Saki (From ""Batla House"")","Neha Kakkar, Tulsi Kumar, B Praak"
88,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,52,Break My Heart,Dua Lipa
89,https://open.spotify.com/track/7cuYb19oTyv1tLTgzH7qpv,44,Baari,"Bilal Saeed, Momina Mustehsan"
90,https://open.spotify.com/track/3iP6FDxr7k36zqSDscqZW7,67,"Agar Tum Saath Ho (From ""Tamasha"")","BollyKex, Arijit Singh, Alka Yagnik"
91,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,56,Closer,"The Chainsmokers, Halsey"
92,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,56,Righteous,Juice WRLD
93,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz,43,Faded,Alan Walker
94,https://open.spotify.com/track/7IAJzec1UxGYmNvbPTHbxx,7,"Shaitan Ka Saala (From ""Housefull 4"")","Sohail Sen, Vishal Dadlani"
95,https://open.spotify.com/track/17uI7afUaul1hCzMTF9txd,15,Ik Mulaqaat,"Meet Bros., Palak Muchhal, Altamash Faridi"
96,https://open.spotify.com/track/6vuMdb0E8buJeSHArN3dXk,17,"Chale Aana (From ""De De Pyaar De"")","Amaal Mallik, Armaan Malik"
97,https://open.spotify.com/track/3VvegBjd44vWzSeocBJAh2,82,Jatt Hunde Aa,Prem Dhillon
98,https://open.spotify.com/track/7gAyu0od48mkaCw1laPKVC,27,Naagin,"Vayu, Aastha Gill, AKASA, Puri"
99,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si,65,Savage,Megan Thee Stallion
100,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,88,If the World Was Ending - feat. Julia Michaels,JP Saxe
101,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,1,Boy With Luv (feat. Halsey),BTS
102,https://open.spotify.com/track/0JBhoxPKHJc1ZeJrjSt0VO,84,Tera Ghata,Gajendra Verma
103,https://open.spotify.com/track/3j9DrRebdWK1jkpOw9FZUy,7,Samajavaragamana,Sid Sriram
104,https://open.spotify.com/track/0IkC8QAKW1z0larWWtnSOO,39,Kuch Bhi Ho Jaye,B Praak
